English,Gloss_Translation
My grandmother bought me new underwear for Christmas.,CHRISTMAS GRANDMOTHER ME NEW UNDERWEAR BUY
My great aunt was an American Indian.,ME GREAT-AUNT AMERICAN INDIAN
My dad writes with his right hand and throws with his left hand.,DAD POINT-RIGHT HAND WRITE POINT-LEFT HAND THROW
My mom teaches kindergarten.,MOM TEACH YOUNG-CHILDREN
My friend and I like to swap good books with each other.,FRIEND NMF:ME BOTH LIKE SWAP GOOD BOOK EACH-OTHER
My best friend lives in California.,MY BEST FRIEND LIVE WHERE CALIFORNIA
My grandparents live in The Villages in Florida in the winter.,WINTER GRANDPARENTS LIVE WHERE FS:THE-VILLAGES FLORIDA
I made a pledge to my family to exercise more.,NMF:ME PROMISE FAMILY EXERCISE MORE
My daughter joined the Coast Guard last month.,MY DAUGHTER LAST MONTH JOIN COAST-GUARD
My son volunteers every week at the animal shelter.,SON MY VOLUNTEER EVERY-WEEK ANIMAL SHELTER
"My sister is such an amazing athlete, she plays soccer and basketball.",POINT-RIGHT SHE NMF:PERSON WOMAN SISTER NMF:AMAZING ATHLETE PLAY SOCCER ALSO BASKETBALL
My brother fell off his skateboard and broke his wrist.,BROTHER SKATEBOARD FALL-OFF WRIST BREAK
My father has Alzheimer's disease.,FATHER MY ALZHEIMER'S DISEASE HAVE
My grandparents made a great couple.,MY GRANDPARENTS COUPLE GREAT
My family always has a picnic on Memorial Day.,FAMILY POSS-MY TRADITION MEMORIAL DAY PICNIC ALWAYS
I have six siblings and I am the oldest.,NMF:ME HAVE SIX SIBLINGS NMF:ME OLDEST
"I didn’t like the pink socks I got, so I regifted them to my brother.","PINK SOCK NMF:ME GET LIKE NOT, BROTHER NMF:ME GIVE-AWAY"
My son will go camping with the Boy Scouts next month.,SON MINE NEXT MONTH BOY SCOUTS GROUP CAMPING GO-TO
My aunt and uncle live in Chicago.,MY AUNT UNCLE BOTH LIVE WHERE CHICAGO
Both my son and daughter have red hair.,ME HAVE TWO CHILDREN BOY GIRL BOTH RED HAIR
My family always gets together for Independence Day every year.,FAMILY MY EVERY-YEAR INDEPENDENCE DAY MEET-UP TRADITION
Honesty is very important in a relationship.,RELATIONSHIP HONESTY IMPORTANT MUST
My mother got diabetes when she was 57.,MY MOTHER DIABETES GET AGE FIFTY-SEVEN
I'm proud of my grandson because out of 30 questions on his spelling test he only got 2 wrong.,ME PROUD MY GRANDSON WHY SPELLING TEST THIRTY QUESTION HE ONLY TWO WRONG
I plan to ask my dad to borrow his car.,CAR DAD POSSESS ME ASK BORROW PLAN
How old is your daughter?,YOUR DAUGHTER AGE HOW-OLD
My daughter is 1 year old.,MY DAUGHTER AGE ONE YEAR OLD
What is your mom's name?,YOUR MUM NAME WHAT
My grandmother Annie likes apples.,MY GRANDMOTHER FS:ANNIE LIKE APPLE
My sister Beth likes popcorn.,MY SISTER FS:BETH SN:BETH POPCORN LIKE
My aunt Lisa doesn't like tea.,MY AUNT FS:LISA TEA LIKE NOT
My mother's favorite class is algebra.,MOTHER POSS-MY FAVORITE CLASS ALGEBRA
My great aunt is 100% Cherokee Native American.,MY GREAT AUNT HUNDRED PERCENT CHEROKEE NATIVE AMERICAN
"In 1947, Rhulin Thomas became the first deaf pilot to fly from coast-to-coast in the U.S. alone.",YEAR NINETEEN-FORTY-SEVEN PERSON NAME R-H-U-L-I-N T-H-O-M-A-S FIRST DEAF PILOT FLY ALONE COAST-TO-COAST AMERICA
My 29th birthday is tomorrow! (Just kidding!),TOMORROW MY BIRTHDAY 29 (JOKE ME)
My father-in-law worked at a factory for twenty-five years.,FATHER-IN-LAW WORK FACTORY TWENTY-FIVE YEAR
I go to the library about 3 days a week.,NMF:ME LIBRARY GO THREE DAY WEEK
My favorite time to swim is 8 in the morning.,SWIM FAVORITE TIME MORNING EIGHT
I visited Gallaudet University two years ago.,NMF:ME VISIT GALLAUDET UNIVERSITY TWO YEAR AGO
Today the wind is 25 mph.,TODAY WIND SPEED TWENTY-FIVE MPH
I am invited to 3 weddings this summer.,NMF:ME INVITE THREE WEDDING THIS SUMMER
I have to work at 1 pm today.,TODAY ONE PM NMF:ME WORK MUST
My cat weighs 18 pounds.,MY CAT WEIGHT EIGHTEEN POUND
Sir Charles Scott Sherrington was a hard of hearing scientist who received the Nobel Prize in 1932 for helping shape our understanding of the central nervous system.,SIR FS:CHARLES FS:SCOTT FS:SHERRINGTON SCIENTIST HARD-OF-HEARING HE NOBEL PRIZE WIN YEAR NINETEEN THIRTY-TWO WHY HELP UNDERSTAND CENTRAL NERVOUS SYSTEM BETTER
The pet store has 10 workers.,PET SHOP WORKER TEN
I drink 8 glasses of water everyday.,NMF:ME EVERYDAY WATER EIGHT GLASS DRINK
I eat one apple a day.,ME APPLE ONE EVERYDAY EAT
We had a big barbecue on the 4th of July.,JULY FOURTH BIG BARBECUE WE-ALL HAVE
"Louise Fletcher is a CODA and actress. She one 3 awards. She won an Oscar, a BAFTA, and a Golden Globe award for one movie, called ""One Flew Over the Cuckoo's Nest"".","FS:LOUISE FS:FLETCHER SN:LOUISE-FLETCHER CODA ALSO ACTRESS

['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] AWARD WIN THREE

['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] AWARD WIN THREE WHAT FS:OSCAR ALSO FS:BAFTA ALSO FS:GOLDEN-GLOBE FILM ONE NAME FS:ONE-FLEW-OVER-CUCKOOS-NEST"
Five little ducks are playing in the water.,FIVE SMALL DUCK WATER PLAY
The elevator got stuck on the 3rd floor.,ELEVATOR STUCK FLOOR THREE
Five plus five equals ten.,FIVE ADD FIVE TOTAL TEN
I hope when I go to Las Vegas that I get a 7 or 11 when I roll the dice.,LAS VEGAS NMF:ME GO HOPE DICE ROLL SEVEN NMF:OR ELEVEN NMF:ME GET
The 98 year old man is in good health because he lives in Florida.,MAN NINETY-EIGHT YEAR-OLD HEALTH GOOD WHY FLORIDA LIVE
I have seven white horses.,NMF:ME HORSE WHITE SEVEN HAVE
The army captain was awarded 3 medals.,ARMY CAPTAIN MEDAL THREE WIN
My neighbor has 8 children and 4 dogs.,MY NEIGHBOR HAVE EIGHT CHILDREN ALSO FOUR DOG
Terence Parkin is a deaf swimmer from South Africa. He won the silver medal in the Olympics in 2000.,"TERENCE PARKIN DEAF SWIMMER FROM SOUTH-AFRICA. OLYMPICS TWO-THOUSAND ['POINT-RIGHT HE', 'NMF:PERSON MAN'] WIN SILVER MEDAL."
Thirty people will go to the family picnic next Saturday.,NEXT SATURDAY FAMILY PICNIC THIRTY PEOPLE GO WILL
I have more than 100 pigs on my farm.,NMF:ME FARM PIG MORE-THAN ONE-HUNDRED HAVE
"Three of the most famous deaf pilots are Cal Rodgers, Nellie Zabel Willhite, and Rhulin Thomas.","FAMOUS DEAF PILOT THREE WHO? CAL RODGERS, NELLIE ZABEL WILLHITE, RHULIN THOMAS ALSO"
My Labrador puppy is 6 months old.,MY LABRADOR PUPPY AGE SIX MONTH
Linda Bove is a deaf actress. She played the role of Linda the librarian on Sesame Street for 31 years.,LINDA BOVE DEAF ACTRESS. POINT-RIGHT SHE WORK SESAME STREET THIRTY-ONE YEAR. ROLE WHAT LINDA LIBRARIAN.
"At the party there were ten cookies left, so I took two.",PARTY POINT-LEFT COOKIES TEN LEFT NMF:ME TAKE TWO
Jeff Float is a deaf American swimmer who won a gold medal at the 1984 Olympics.,JEFF FLOAT DEAF AMERICAN SWIMMER GOLD MEDAL WIN YEAR NINETEEN EIGHTY-FOUR OLYMPICS
Every year my boss gives me one hundred dollars for Christmas.,EVERY-YEAR BOSS GIVE-ME ONE-HUNDRED DOLLAR CHRISTMAS
Dr. Charles Nicolle was born hearing but became deaf by the age of 20. He was the first deaf person to receive a Nobel Prize. It was for discovering that Typhus is spread by lice.,DR CHARLES NICOLLE BORN HEARING BECOME DEAF AGE TWENTY. POINT-RIGHT HE FIRST DEAF PERSON RECEIVE NOBEL PRIZE. WHY DISCOVER TYPHUS SPREAD HOW LICE.
"As a young girl, Alice Cogswell, inspired her neighbor, Thomas Hopkins Gallaudet, to devote his life to educating the deaf and to create the American School for the Deaf. She and six other deaf children were the first students to attend the American School for the Deaf in 1817.","YOUNG GIRL ALICE COGSWELL INSPIRE NEIGHBOR THOMAS HOPKINS GALLAUDET LIFE DEVOTE EDUCATE DEAF ALSO CREATE AMERICAN SCHOOL FOR DEAF. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] ALSO SIX OTHER DEAF CHILDREN FIRST STUDENT ATTEND AMERICAN SCHOOL FOR DEAF YEAR EIGHTEEN SEVENTEEN."
"Juliette Gordon Low was sick often while growing up and lost her hearing in her right ear. On her wedding day, rice went into her left ear and when the doctor tried to take it out, he punctured her eardrum. Then she was deaf in both ears. She founded the Girl Scouts when she was 51 years old because she wanted girls to have the same opportunities as boys.","JULIETTE GORDON LOW GROW-UP OFTEN SICK POINT-RIGHT SHE RIGHT EAR HEARING LOSE

WEDDING DAY RICE LEFT EAR ENTER DOCTOR TRY REMOVE POINT-RIGHT HE EARDRUM DAMAGE

AFTER BOTH EAR DEAF

POINT-RIGHT SHE AGE FIFTY-ONE GIRL SCOUTS ESTABLISH WHY POINT-RIGHT SHE WANT GIRL BOY SAME OPPORTUNITY HAVE"
"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","MATT HAMILL NMF:PERSON DEAF WRESTLER

POINT-RIGHT HE WIN THREE NCAA NATIONAL CHAMPIONSHIP

ALSO WIN SILVER GOLD MEDAL DEAFLYMPICS

ALSO MOVIE ABOUT POINT-RIGHT HE LIFE TITLE ""THE HAMMER"""
My two sisters are total opposites!,ME TWO SISTER BOTH DIFFERENT COMPLETE
"Phyllis Frelich was a deaf actress and famous for winning the 1980 Best Actress Tony Award for the play ""Children of a Lesser God.""","FS:PHYLLIS FS:FRELICH SN:PHYLLIS-FRELICH DEAF ACTRESS FAMOUS WHY WIN NINETEEN-EIGHTY BEST ACTRESS TONY AWARD PLAY TITLE ""CHILDREN OF A LESSER GOD"""
"Robert Davila served as the ninth president of Gallaudet University from 2007 to 2009. Prior to becoming the president of Gallaudet University, he was the first Deaf CEO of the National Technical Institute for the Deaf.","ROBERT DAVILA SERVE PRESIDENT NINE GALLAUDET UNIVERSITY FROM TWO THOUSAND SEVEN FINISH TWO THOUSAND NINE. BEFORE BECOME PRESIDENT GALLAUDET UNIVERSITY, POINT-RIGHT HE FIRST DEAF CEO NATIONAL TECHNICAL INSTITUTE FOR DEAF."
American Sign Language was recognized as a true language in 1965.,AMERICAN SIGNING RECOGNIZED TRUE LANGUAGE NINETEEN SIXTY-FIVE
I run 25 miles every week.,NMF:ME EVERY WEEK RUN TWENTY-FIVE MILES
"Instead of prison, my cousin John, must do 300 hours of community service.",PRISON NO INSTEAD MY COUSIN JOHN MUST COMMUNITY SERVICE THREE-HUNDRED HOUR
Sir John Cornforth was a deaf chemist who won the Nobel Prize in Chemistry in 1975.,DEAF CHEMIST NAME FS:JOHN FS:CORNFORTH WIN NOBEL PRIZE CHEMISTRY YEAR NINETEEN SEVENTY-FIVE
I have 10 different fish in my aquarium.,NMF:ME AQUARIUM TEN DIFFERENT FISH HAVE
I had a conversation with my neighbor yesterday.,YESTERDAY NMF:ME NEIGHBOR CONVERSATION BEEN
Do you have a 20 dollar bill?,YOU HAVE TWENTY DOLLAR BILL QUESTION-MARK
"Morris Broderson is a deaf painter. His artwork has been displayed many places, such as at Gallaudet University, NTID, and the Guggenheim and Whitney Museums.",MORRIS BRODERSON DEAF PAINTER. HIS ARTWORK DISPLAY NMF:MANY PLACE INCLUDE GALLAUDET UNIVERSITY NTID ALSO GUGGENHEIM WHITNEY MUSEUM
My friend and I like to swap good books with each other.,FRIEND NMF:ME BOTH LIKE SWAP GOOD BOOK EACH-OTHER
Heather Whitestone was the first deaf person to be crowned as Miss America in 1995.,HEATHER WHITESTONE FIRST DEAF PERSON WIN MISS AMERICA NINETEEN NINETY-FIVE
"Thomas H. Gallaudet was a minister, educator, and co-founded the first school for the deaf called the American School for the Deaf in Hartford, Connecticut. Gallaudet University was named in honor of him in 1894.",THOMAS H. GALLAUDET WHO MINISTER EDUCATOR ALSO CO-FOUND FIRST SCHOOL DEAF NAME AMERICAN SCHOOL FOR DEAF PLACE HARTFORD CONNECTICUT. GALLAUDET UNIVERSITY NAME HONOR HIM YEAR EIGHTEEN NINETY-FOUR.
United States of America became independent from Great Britain in 1784 after the ratification of the Treaty of Paris.,AMERICA INDEPENDENT FROM BRITAIN WHEN YEAR ONE-THOUSAND SEVEN-HUNDRED EIGHTY-FOUR HAPPEN WHY TREATY PARIS AGREE FINISH
I play tennis every Friday with 3 women.,NMF:ME FRIDAY EVERY TENNIS PLAY THREE WOMAN WITH
My grandparents made a great couple.,MY GRANDPARENTS COUPLE GREAT
I will go to three graduation parties in June.,JUNE NMF:ME GO THREE GRADUATION PARTY
Independence Day is July 4th.,INDEPENDENCE DAY WHEN JULY FOURTH
We remember 9/11 on Patriot Day.,NINE ELEVEN DAY REMEMBER PATRIOT DAY
I have six siblings and I am the oldest.,NMF:ME HAVE SIX SIBLINGS NMF:ME OLDEST
I will visit my friend for two days.,FRIEND NMF:ME VISIT WILL TWO DAY
Leap Year happens every 4 years.,LEAP YEAR HAPPEN EVERY FOUR YEAR
I was a high school cheerleader for 4 years.,ME HIGH-SCHOOL CHEERLEADER FOUR YEAR
I donate blood every three months.,ME BLOOD DONATE EVERY THREE MONTH
There was a famous protest at Gallaudet University in 1988 called Deaf President Now.,"GALLAUDET UNIVERSITY NINETEEN EIGHTY-EIGHT FAMOUS PROTEST HAPPEN NAME ""DEAF PRESIDENT NOW"""
"Ashley Fiolek is a Deaf Motocross Racer. She started motorcycling when she was three years old. She won four Woman Motocross Championships in 2008, 2009, 2011, 2012. She is now retired.","FS:ASHLEY FS:FIOLEK SN:ASHLEY-FIOLEK DEAF MOTOCROSS RACER

POINT-RIGHT SHE MOTOCYCLE START AGE THREE

WOMAN MOTOCROSS CHAMPIONSHIP WIN FOUR TIME YEAR TWO-THOUSAND EIGHT TWO-THOUSAND NINE TWO-THOUSAND ELEVEN TWO-THOUSAND TWELVE

NOW POINT-RIGHT SHE RETIRE FINISH"
"Curtis Pride is deaf and was a baseball player. He played for many teams, such as the Detroit Tigers, Atlanta Braves, and New York Yankees. He is currently the coach for the Gallaudet University baseball team.","CURTIS PRIDE DEAF BASEBALL PLAYER PAST. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] PLAY NMF:MANY TEAM INCLUDE DETROIT TIGERS ATLANTA BRAVES NEW YORK YANKEES. NOW ['POINT-RIGHT HE', 'NMF:PERSON MAN'] COACH GALLAUDET UNIVERSITY BASEBALL TEAM."
"After retirement in 10 years, I plan to move to Florida.",TEN YEAR FUTURE RETIRE FINISH NMF:ME PLAN MOVE FLORIDA
I love apples. I eat one every day.,APPLE NMF:ME LOVE. EVERYDAY ONE NMF:ME EAT
Kay ate 9 apples.,FS:KAY APPLE NINE EAT FINISH
My friend drinks 2 bottles of soda pop for breakfast.,FRIEND MY MORNING EAT WHAT TWO BOTTLE FIZZY-DRINK
Popcorn costs $6.00.,POPCORN PRICE SIX DOLLARS
5 APPLES + 6 APPLES = 11 APPLES,APPLE FIVE ADD APPLE SIX TOTAL APPLE ELEVEN
I have 2 dogs.,NMF:ME DOG TWO HAVE
I have six coats.,NMF:ME COAT SIX HAVE
Can you hear all the birds singing?,BIRDS SING YOU NOTICE
"Two cats are better, so they don't get lonely.",CAT TWO BETTER WHY LONELY AVOID
My dog is always in trouble.,DOG MY TROUBLE ALWAYS
My cat weighs 18 pounds.,MY CAT WEIGHT EIGHTEEN POUND
The pet store has 10 workers.,PET SHOP WORKER TEN
We saw a big black bear and her two babies in the woods yesterday.,YESTERDAY WOODS WE SEE BIG BLACK BEAR MOTHER TWO BABY-BEAR
Look at all the beautiful butterflies!,LOOK BUTTERFLIES BEAUTIFUL MANY
Five little ducks are playing in the water.,FIVE SMALL DUCK WATER PLAY
Yesterday I saw a bald eagle outside my window.,YESTERDAY NMF:ME WINDOW OUTSIDE EAGLE BALD SEE
My cat likes to chase frogs.,CAT MINE FROG CHASE ENJOY
I have seven white horses.,NMF:ME HORSE WHITE SEVEN HAVE
My grandfather used to hunt for deer.,GRANDFATHER MY BEFORE HUNT DEER
My neighbor has 8 children and 4 dogs.,MY NEIGHBOR HAVE EIGHT CHILDREN ALSO FOUR DOG
I have more than 100 pigs on my farm.,NMF:ME FARM PIG MORE-THAN ONE-HUNDRED HAVE
My Labrador puppy is 6 months old.,MY LABRADOR PUPPY AGE SIX MONTH
My pet rat’s name is Remy.,PET RAT ME HAVE NAME FS:REMY
Michigan has black squirrels.,MICHIGAN HAVE BLACK SQUIRREL
My cat's favorite food is tuna.,CAT MY FAVORITE FOOD TUNA
My two cats look alike.,ME TWO CAT SAME LOOK
My new puppy is not potty trained yet.,NEW PUPPY MY TOILET TRAINING NOT-YET
I have 10 different fish in my aquarium.,NMF:ME AQUARIUM TEN DIFFERENT FISH HAVE
My son volunteers every week at the animal shelter.,SON MY VOLUNTEER EVERY-WEEK ANIMAL SHELTER
There are too many mosquitos when I camp in the wilderness.,WILDERNESS CAMP NMF:ME MOSQUITO NMF:MANY
I like to cuddle up with my cat.,ME LIKE CUDDLE-UP WITH MY CAT
Devon is afraid of bears.,DEVON BEAR AFRAID
My dog is afraid of thunder and lightning.,DOG MY THUNDER LIGHTNING AFRAID
I have 2 dogs.,NMF:ME DOG TWO HAVE
What color is the animal?,ANIMAL COLOUR WHAT?
The frog is green.,FROG GREEN
The whale is blue.,WHALE COLOUR BLUE
The baby duck is yellow.,DUCK BABY YELLOW
The butterfly is purple.,BUTTERFLY COLOUR PURPLE
The squirrel is red.,SQUIRREL COLOUR RED
The pig is pink.,PIG COLOUR PINK
The tiger is orange.,TIGER COLOUR ORANGE
The cow is brown.,COW COLOUR BROWN
The deer is tan.,DEER COLOUR TAN
The horse is white.,HORSE COLOUR WHITE
The cat is black.,CAT BLACK
The mouse is gray.,MOUSE COLOUR GREY
The lion is gold.,LION COLOUR GOLD
The snake is silver.,SNAKE COLOUR SILVER
I love whales.,NMF:ME LOVE WHALE
I like frogs.,NMF:ME LIKE FROG
I have 9 turtles.,NMF:ME HAVE NINE TURTLE
I am afraid of spiders.,NMF:ME SPIDER FEAR
I have 13 donkeys.,NMF:ME DONKEY THIRTEEN HAVE
I dislike alligators.,ALLIGATOR NMF:ME DISLIKE
I dislike raccoons.,RACCOONS NMF:ME DISLIKE
I hate turkeys.,TURKEY NMF:ME DISLIKE
I feed the birds everyday.,EVERYDAY BIRD-PLURAL ME FEED
"In 1947, Rhulin Thomas became the first deaf pilot to fly from coast-to-coast in the U.S. alone.",YEAR NINETEEN-FORTY-SEVEN PERSON NAME R-H-U-L-I-N T-H-O-M-A-S FIRST DEAF PILOT FLY ALONE COAST-TO-COAST AMERICA
Sean Berdy is a deaf actor well known for acting on the TV series Switched at Birth.,SEAN BERDY WHO DEAF ACTOR FAMOUS WHY TV SERIES NAME SWITCHED AT BIRTH ACT
"Did you see the movie about the life of Kitty O’Neil, a deaf stuntwoman and racer?",YOU HAVE-A-LOOK MOVIE ABOUT KITTY O'NEIL LIFE? SHE DEAF STUNTWOMAN RACER
My sister is Deaf and goes to Gallaudet University.,SISTER MY DEAF GALLAUDET UNIVERSITY GO
William “Dummy” Hoy was a Deaf Major League Baseball player and some say he helped establish the baseball signals for safe and out calls.,"WILLIAM ""DUMMY"" HOY NMF:PERSON DEAF MAJOR LEAGUE BASEBALL PLAYER POINT-RIGHT HE HELP ESTABLISH BASEBALL SIGNALS SAFE OUT CALL SOME SAY"
Kenny Walker is deaf and played football in the NFL for the Denver Broncos.,KENNY WALKER DEAF PERSON ALSO FOOTBALL PLAYER NFL DENVER BRONCOS
"Ella Mae Lentz is a Deaf American teacher, poet, advocate, and author.",ELLA MAE LENTZ WHO? DEAF AMERICAN TEACHER POET ADVOCATE AUTHOR ALSO
Granville Redmond was a deaf artist. He was friends with Charlie Chaplin and gave him tips from ASL to use when acting in silent films.,GRANVILLE REDMOND DEAF ARTIST. CHARLIE CHAPLIN FRIEND. POINT-RIGHT HE CHARLIE CHAPLIN TEACH FS:ASL TIP USE HOW SILENT FILM ACT.
Sir Charles Scott Sherrington was a hard of hearing scientist who received the Nobel Prize in 1932 for helping shape our understanding of the central nervous system.,SIR FS:CHARLES FS:SCOTT FS:SHERRINGTON SCIENTIST HARD-OF-HEARING HE NOBEL PRIZE WIN YEAR NINETEEN THIRTY-TWO WHY HELP UNDERSTAND CENTRAL NERVOUS SYSTEM BETTER
"Andrew Foster was a famous Deaf African American who was a reverend, educator, and missionary. He established the first school for the deaf in Africa.","ANDREW FOSTER WHO FAMOUS DEAF AFRICAN AMERICAN REVEREND EDUCATOR MISSIONARY ALSO. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] ESTABLISH FIRST SCHOOL FOR-WHO DEAF WHERE AFRICA."
"Sometimes people think the deaf use braille, but that is not true, only blind people use braille.",SOMETIMES PEOPLE THINK DEAF USE BRAILLE WRONG ONLY BLIND PEOPLE USE BRAILLE
"Louise Fletcher is a CODA and actress. She one 3 awards. She won an Oscar, a BAFTA, and a Golden Globe award for one movie, called ""One Flew Over the Cuckoo's Nest"".","FS:LOUISE FS:FLETCHER SN:LOUISE-FLETCHER CODA ALSO ACTRESS. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] WIN AWARD THREE. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] WIN OSCAR ALSO BAFTA ALSO GOLDEN-GLOBE AWARD WHAT-FOR MOVIE ONE NAME FS:ONE FS:FLEW FS:OVER FS:CUCKOO'S FS:NEST."
Marlee Matlin is a famous Deaf Actress. She won an Academy Award and a Golden Globe for her role in the movie Children of a Lesser God.,"FS:MARLEE FS:MATLIN SN:MARLEE-MATLIN FAMOUS DEAF ACTRESS. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] WIN ACADEMY-AWARD ALSO GOLDEN-GLOBE MOVIE ROLE FS:CHILDREN FS:OF FS:A FS:LESSER FS:GOD."
Cal Rodgers was a deaf pilot. He made the first transcontinental airplane flight after crashing several times along the way.,CAL RODGERS DEAF PILOT. POINT-RIGHT HE FIRST AIRPLANE TRAVEL ACROSS AMERICA. JOURNEY CRASH MANY TIME BUT FINISH SUCCESS.
Terence Parkin is a deaf swimmer from South Africa. He won the silver medal in the Olympics in 2000.,"TERENCE PARKIN DEAF SWIMMER FROM SOUTH-AFRICA. OLYMPICS TWO-THOUSAND ['POINT-RIGHT HE', 'NMF:PERSON MAN'] WIN SILVER MEDAL."
