English,Gloss,Href
My parents live in a senior citizen community.,MY PARENTS LIVE WHERE? SENIOR CITIZEN COMMUNITY.,https://www.signingsavvy.com/sentences/family/5109
My father's side of the family is hispanic.,MY FATHER HIS FAMILY STRONG HISPANIC.,https://www.signingsavvy.com/sentences/family/5110
My grandma bakes cherry pie for my birthday.,FOR MY BIRTHDAY CHERRY PIE MY GRANDMA BAKES.,https://www.signingsavvy.com/sentences/family/5111
Stories about our ancestors are an important part of our heritage.,IMPORTANT SHARE STORIES WITH CHILDREN WHY? OUR HERITAGE CHERISH.,https://www.signingsavvy.com/sentences/family/5112
My grandma likes to hug everybody.,EVERYBODY MY GRANDMA LIKES HUG HUG HUG.,https://www.signingsavvy.com/sentences/family/5113
Ludwig van Beethoven was a famous composer from Germany who became deaf. He was still able to create and play music.,L-U-D-W-I-G V-A-N B-E-E-T-H-O-V-E-N HIMSELF FAMOUS COMPOSER FROM GERMANY HIS HEARING DETERIORATED. DIDN’T-MATTER HE STILL EXPERT CREATE MUSIC PLAY-PIANO.,https://www.signingsavvy.com/sentences/family/5114
My two sisters are total opposites!,MY TWO SISTERS TWO-OF-THEM OPPOSITE PERSONALITIES.,https://www.signingsavvy.com/sentences/family/5115
My brother collects old records.,OLD RECORDS MY BROTHER COLLECT COLLECT COLLECT.,https://www.signingsavvy.com/sentences/family/5116
My sister has red hair.,MY SISTER COLOR HAIR WHAT? RED.,https://www.signingsavvy.com/sentences/family/5117
"Instead of prison, my cousin John, must do 300 hours of community service.",INSTEAD PRISON MY COUSIN J-O-H-N MUST 300 HOURS COMMUNITY SERVICE.,https://www.signingsavvy.com/sentences/family/5118
I gave my mother a new sewing machine for her birthday.,MY MOTHER BIRTHDAY NEW SEWING MACHINE I GAVE.,https://www.signingsavvy.com/sentences/family/5119
My brother always finds good deals because he is thrifty.,GOOD D-E-A-L-S MY BROTHER ALWAYS FIND WHY? HE THRIFTY.,https://www.signingsavvy.com/sentences/family/5120
My sister is a very famous chef.,MY SISTER WHAT? FAMOUS (emphasized) C-H-E-F.,https://www.signingsavvy.com/sentences/family/5121
My family went raspberry picking last weekend.,LAST WEEKEND R-A-S-P-B-E-R-R-Y PICKING MY FAMILY GO.,https://www.signingsavvy.com/sentences/family/5122
My uncle has a turkey farm.,TURKEY FARM MY UNCLE HAS.,https://www.signingsavvy.com/sentences/family/5123
My family goes to the strawberry farm every summer.,EVERY SUMMER STRAWBERRY FARM MY FAMILY GOES-TO.,https://www.signingsavvy.com/sentences/family/5124
I really like to fish with my dad.,FISHING WITH MY FATHER I ENJOY!,https://www.signingsavvy.com/sentences/family/5125
I had a conversation with my neighbor yesterday.,YESTERDAY MY NEIGHBOR TWO-OF-US CONVERSATION.,https://www.signingsavvy.com/sentences/family/5126
My neighbor is nice.,MY NEIGHBOR SHE NICE.,https://www.signingsavvy.com/sentences/family/5127
My grandmother bought me new underwear for Christmas.,CHRISTMAS NEW UNDERWEAR MY GRANDMOTHER BOUGHT ME.,https://www.signingsavvy.com/sentences/family/5128
My great aunt was an American Indian.,MY G-R-E-A-T AUNT HERSELF AMERICAN INDIAN.,https://www.signingsavvy.com/sentences/family/5129
My dad writes with his right hand and throws with his left hand.,MY DAD RIGHT HAND WRITE LEFT HAND THROW.,https://www.signingsavvy.com/sentences/family/5130
My mom teaches kindergarten.,KINDERGARTEN MY MOM TEACH.,https://www.signingsavvy.com/sentences/family/5131
My friend and I like to swap good books with each other.,GOOD BOOKS MY FRIEND TWO-OF-US LIKE TO SWAP.,https://www.signingsavvy.com/sentences/family/5132
My best friend lives in California.,MY BEST FRIEND LIVES WHERE? CALIFORNIA,https://www.signingsavvy.com/sentences/family/5133
My grandparents live in The Villages in Florida in the winter.,DURING WINTER MY GRANDPARENTS LIVE WHERE? T-H-E V-I-L-L-A-G-E-S VILLAGES F-L-A.,https://www.signingsavvy.com/sentences/family/5134
I made a pledge to my family to exercise more.,MY FAMILY PLEDGE ME WHAT? EXERCISE MORE WILL I.,https://www.signingsavvy.com/sentences/family/5135
My daughter joined the Coast Guard last month.,LAST MONTH C-O-A-S-T G-U-A-R-D MY DAUGHTER JOIN.,https://www.signingsavvy.com/sentences/family/5136
My son volunteers every week at the animal shelter.,EVERY WEEK ANIMAL S-H-E-L-T-E-R MY SON VOLUNTEER.,https://www.signingsavvy.com/sentences/family/5137
"My sister is such an amazing athlete, she plays soccer and basketball.",MY SISTER AMAZING ATHLETE SOCCER BASKETBALL SHE PLAYS.,https://www.signingsavvy.com/sentences/family/5138
My brother fell off his skateboard and broke his wrist.,SKATEBOARD MY BROTHER FALL WRIST BROKE.,https://www.signingsavvy.com/sentences/family/5139
My father has Alzheimer's disease.,A-L-Z DISEASE MY FATHER HAS.,https://www.signingsavvy.com/sentences/family/5140
My grandparents made a great couple.,MY GRANDPARENTS WONDERFUL TWO-OF-THEM (couple).,https://www.signingsavvy.com/sentences/family/5141
My family always has a picnic on Memorial Day.,MEMORIAL DAY PICNIC MY FAMILY ALWAYS HOST.,https://www.signingsavvy.com/sentences/family/5142
I have six siblings and I am the oldest.,SIX SIBLINGS I HAVE ME OLDEST.,https://www.signingsavvy.com/sentences/family/5143
"I didn’t like the pink socks I got, so I regifted them to my brother.",PINK SOCKS I GOT DIDN’T LIKE. DO-DO? MY BROTHER I REGIFT.,https://www.signingsavvy.com/sentences/family/5144
My son will go camping with the Boy Scouts next month.,NEXT MONTH CAMPING WITH BOY SCOUTS MY SON GO-TO.,https://www.signingsavvy.com/sentences/family/5145
My aunt and uncle live in Chicago.,CHICAGO MY AUNT UNCLE LIVE THERE.,https://www.signingsavvy.com/sentences/family/6041
Both my son and daughter have red hair.,RED HAIR MY SON MY DAUGHTER BOTH HAVE.,https://www.signingsavvy.com/sentences/family/5147
My family always gets together for Independence Day every year.,EVERY YEAR INDEPENDENCE DAY MY FAMILY ALWAYS GET-TOGETHER.,https://www.signingsavvy.com/sentences/family/5977
Honesty is very important in a relationship.,RELATIONSHIP IMPORTANT WHAT? HONESTY!,https://www.signingsavvy.com/sentences/family/6004
My mother got diabetes when she was 57.,MY MOTHER AGE 57 HIT DIABETES.,https://www.signingsavvy.com/sentences/family/6047
I'm proud of my grandson because out of 30 questions on his spelling test he only got 2 wrong.,SPELLING TEST 30 QUESTION MY GRANDSON ONLY 2 WRONG I PROUD.,https://www.signingsavvy.com/sentences/family/6062
I plan to ask my dad to borrow his car.,MY FATHER HIS CAR I PLAN #ASK BORROW.,https://www.signingsavvy.com/sentences/family/7723
How old is your daughter?,YOUR DAUGHTER HOW OLD?,https://www.signingsavvy.com/sentences/family/7675
My daughter is 1 year old.,MY DAUGHTER OLD 1.,https://www.signingsavvy.com/sentences/family/7676
What is your mom's name?,YOUR MOM NAME WHAT?,https://www.signingsavvy.com/sentences/family/7694
My grandmother Annie likes apples.,APPLES MY GRANDMOTHER A-N-N-I-E LIKES.,https://www.signingsavvy.com/sentences/family/7655
My sister Beth likes popcorn.,POPCORN MY SISTER B-E-T-H LIKES,https://www.signingsavvy.com/sentences/family/7684
My aunt Lisa doesn't like tea.,TEA MY AUNT L-I-S-A DOESN'T LIKE.,https://www.signingsavvy.com/sentences/family/7681
My mother's favorite class is algebra.,ALGEBRA MY MOTHER HER FAVORITE CLASS.,https://www.signingsavvy.com/sentences/family/7703
My great aunt is 100% Cherokee Native American.,MY G-R-E-A-T AUNT SHE 100 PERCENT C-H-E-R-O-K-E-E NATIVE AMERICAN.,https://www.signingsavvy.com/sentences/family/7634
"In 1947, Rhulin Thomas became the first deaf pilot to fly from coast-to-coast in the U.S. alone.",YEAR 1947 R-H-U-L-I-N T-H-O-M-A-S HE FIRST DEAF PILOT ALONE UNITED STATES C-O-A-S-T FLY-ACROSS C-O-A-S-T.,https://www.signingsavvy.com/sentences/amounts/5148
My 29th birthday is tomorrow! (Just kidding!),TOMORROW MY BIRTHDAY! I OLD 29. WINK-WINK.,https://www.signingsavvy.com/sentences/amounts/5149
My father-in-law worked at a factory for twenty-five years.,25 YEARS FACTORY MY FATHER-IN-LAW WORK WORK WORK.,https://www.signingsavvy.com/sentences/amounts/5150
I go to the library about 3 days a week.,3 DAYS WEEK LIBRARY I GO-TO.,https://www.signingsavvy.com/sentences/amounts/5151
My favorite time to swim is 8 in the morning.,MY FAVORITE TIME SWIM WHEN? 8 MORNING.,https://www.signingsavvy.com/sentences/amounts/5152
I visited Gallaudet University two years ago.,2 YEARS AGO GALLAUDET UNIVERSITY I VISIT.,https://www.signingsavvy.com/sentences/amounts/5153
Today the wind is 25 mph.,TODAY WIND 25 #MPH.,https://www.signingsavvy.com/sentences/amounts/5154
I am invited to 3 weddings this summer.,THIS SUMMER 3 WEDDINGS INVITE I.,https://www.signingsavvy.com/sentences/amounts/5155
I have to work at 1 pm today.,TIME 1 PM ME DO-DO? GO WORK.,https://www.signingsavvy.com/sentences/amounts/5156
My cat weighs 18 pounds.,MY CAT WEIGH HOW MUCH? 18 POUNDS.,https://www.signingsavvy.com/sentences/amounts/5157
Sir Charles Scott Sherrington was a hard of hearing scientist who received the Nobel Prize in 1932 for helping shape our understanding of the central nervous system.,S-I-R C-H-A-R-L-E-S S-C-O-T-T S-H-E-R-R-I-N-G-T-O-N HIMSELF HARD-OF-HEARING SCIENTIST. YEAR 1932 HE RECEIVED N-O-B-E-L P-R-I-Z-E MEDAL WHY? HE HELP PEOPLE UNDERSTAND C-E-N-T-R-A-L N-E-R-V-O-U-S S-Y-S-T-E-M.,https://www.signingsavvy.com/sentences/amounts/5158
The pet store has 10 workers.,P-E-T STORE WORKERS HOW MANY? 10.,https://www.signingsavvy.com/sentences/amounts/5159
I drink 8 glasses of water everyday.,EVERYDAY 8 GLASSES WATER I DRINK.,https://www.signingsavvy.com/sentences/amounts/5160
I eat one apple a day.,EVERYDAY DO-DO ME? EAT ONE APPLE.,https://www.signingsavvy.com/sentences/amounts/7653
We had a big barbecue on the 4th of July.,JULY FOURTH BIG B-B-Q WE HOST.,https://www.signingsavvy.com/sentences/amounts/5161
"Louise Fletcher is a CODA and actress. She one 3 awards. She won an Oscar, a BAFTA, and a Golden Globe award for one movie, called ""One Flew Over the Cuckoo's Nest"".",L-O-U-I-S-E F-L-E-T-C-H-E-R SHE C-O-D-A HERSELF ACTRESS SHE WON THREE AWARDS ONE-OF-THREE O-S-C-A-R TWO-OF-THREE B-A-F-T-A THREE-OF-THREE G-O-L-D-E-N G-L-O-B-E FOR ONE MOVIE QUOTE O-N-E F-L-E-W O-V-E-R T-H-E C-U-C-K-O-O’S N-E-S-T QUOTE.,https://www.signingsavvy.com/sentences/amounts/5162
Five little ducks are playing in the water.,WATER DUCKS FIVE LITTLE LITTLE LITTLE LITTLE LITTLE PLAY AROUND.,https://www.signingsavvy.com/sentences/amounts/5163
The elevator got stuck on the 3rd floor.,THIRD FLOOR ELEVATOR STUCK.,https://www.signingsavvy.com/sentences/amounts/5164
Five plus five equals ten.,5 plus 5 equals 10.,https://www.signingsavvy.com/sentences/amounts/5165
I hope when I go to Las Vegas that I get a 7 or 11 when I roll the dice.,I GO LAS VEGAS DICE (ROLL DICE) HOPE HIT WHAT? 7 11.,https://www.signingsavvy.com/sentences/amounts/5166
The 98 year old man is in good health because he lives in Florida.,MAN OLD 98 GOOD HEALTH WHY? LIVE FLORIDA.,https://www.signingsavvy.com/sentences/amounts/5167
I have seven white horses.,7 WHITE HORSES I HAVE.,https://www.signingsavvy.com/sentences/amounts/5168
The army captain was awarded 3 medals.,ARMY CAPTAIN HONORED 3 MEDALS.,https://www.signingsavvy.com/sentences/amounts/5169
My neighbor has 8 children and 4 dogs.,8 CHILDREN 4 #DOG MY NEIGHBOR HAS.,https://www.signingsavvy.com/sentences/amounts/5170
Terence Parkin is a deaf swimmer from South Africa. He won the silver medal in the Olympics in 2000.,T-E-R-E-N-C-E P-A-R-K-I-N HIMSELF FAMOUS DEAF SWIMMER FROM SOUTH AFRICA. 2000 OLYMPICS SILVER MEDAL HE WON.,https://www.signingsavvy.com/sentences/amounts/5171
Thirty people will go to the family picnic next Saturday.,NEXT SATURDAY FAMILY PICNIC 30 PEOPLE GO.,https://www.signingsavvy.com/sentences/amounts/5172
I have more than 100 pigs on my farm.,MY FARM HAVE WHAT? MORE-THAN 100 PIGS.,https://www.signingsavvy.com/sentences/amounts/5173
"Three of the most famous deaf pilots are Cal Rodgers, Nellie Zabel Willhite, and Rhulin Thomas.","MOST FAMOUS DEAF PILOTS WHO? ONE-OF-THREE C-A-L R-O-D-G-E-R-S, TWO-OF-THREE N-E-L-L-I-E Z-A-B-E-L W-I-L-L-H-I-T-E, THREE-OF-THREE R-H-U-L-I-N T-H-O-M-A-S.",https://www.signingsavvy.com/sentences/amounts/5174
My Labrador puppy is 6 months old.,MY P-U-P-P-Y L-A-B OLD 6-MONTHS.,https://www.signingsavvy.com/sentences/amounts/5175
Linda Bove is a deaf actress. She played the role of Linda the librarian on Sesame Street for 31 years.,L-I-N-D-A B-O-V-E HERSELF DEAF ACTRESS. SHE ACT #TV PROGRAM S-E-S-A-M-E S-T-R-E-E-T ROLE WHAT? L-I-N-D-A T-H-E LIBRARIAN CONTINUE 31 YEARS.,https://www.signingsavvy.com/sentences/amounts/5176
"At the party there were ten cookies left, so I took two.",PARTY TEN COOKIES LEFT ME TOOK TWO.,https://www.signingsavvy.com/sentences/amounts/5177
Jeff Float is a deaf American swimmer who won a gold medal at the 1984 Olympics.,J-E-F-F F-L-O-A-T HIMSELF AMERICAN DEAF SWIMMER 1984 OLYMPICS GOLD MEDAL HE WON.,https://www.signingsavvy.com/sentences/amounts/5178
Every year my boss gives me one hundred dollars for Christmas.,EVERY YEAR CHRISTMAS MY BOSS GIVE ME ONE HUNDRED DOLLARS.,https://www.signingsavvy.com/sentences/amounts/5179
Dr. Charles Nicolle was born hearing but became deaf by the age of 20. He was the first deaf person to receive a Nobel Prize. It was for discovering that Typhus is spread by lice.,D-R. C-H-A-R-L-E-S N-I-C-O-L-L-E HE BORN HEARING EAR DETERIORATE AGE 20 FULL DEAF. HE FIRST DEAF GET N-O-B-E-L P-R-I-Z-E FOR DISCOVERING T-Y-P-H-U-S OUTBREAK START HOW? FROM L-I-C-E.,https://www.signingsavvy.com/sentences/amounts/5180
"As a young girl, Alice Cogswell, inspired her neighbor, Thomas Hopkins Gallaudet, to devote his life to educating the deaf and to create the American School for the Deaf. She and six other deaf children were the first students to attend the American School for the Deaf in 1817.",LITTLE DEAF GIRL NAME A-L-I-C-E C-O-G-S-W-E-L-L MET NEIGHBOR HIS NAME T-H-O-M-A-S H. G-A-L-L-A-U-D-E-T GALLAUDET. HE FASCINATED HER. YEAR 1871 HE ESTABLISHED AMERICAN SCHOOL FOR DEAF. SHE AND SIX OTHER STUDENTS FIRST ENTER A-S-D.,https://www.signingsavvy.com/sentences/amounts/5181
"Juliette Gordon Low was sick often while growing up and lost her hearing in her right ear. On her wedding day, rice went into her left ear and when the doctor tried to take it out, he punctured her eardrum. Then she was deaf in both ears. She founded the Girl Scouts when she was 51 years old because she wanted girls to have the same opportunities as boys.",J-U-L-I-E-T-T-E G-O-R-D-O-N L-O-W SHE GREW-UP SICKLY RIGHT EAR DETERIORATE. LATER HER WEDDING R-I-C-E WENT-IN-THE-EAR LEFT EAR DOCTOR TRY EXTRACT OOPS PUNCTURE EAR NOW DEAF BOTH EARS. FUTURE AGE 51 SHE FOUNDED GIRL SCOUTS WHY? WANT GIRLS SAME BOYS.,https://www.signingsavvy.com/sentences/amounts/5182
"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","M-A-T-T H-A-M-I-L-L HIMSELF DEAF WRESTLER. HE LIST ACCOMPLISHMENTS ONE-OF-THREE THREE N-C-A-A NATIONAL CHAMPIONSHIPS, TWO-OF-THREE HE WON 1 SILVER MEDAL 1 GOLD MEDAL DEAFLYMPICS, THREE-OF-THREE HAVE MOVIE ABOUT HIS LIFE QUOTE “T-H-E H-A-M-M-E-R”.",https://www.signingsavvy.com/sentences/amounts/5183
My two sisters are total opposites!,MY TWO SISTERS TWO-OF-THEM OPPOSITE PERSONALITIES.,https://www.signingsavvy.com/sentences/amounts/5184
"Phyllis Frelich was a deaf actress and famous for winning the 1980 Best Actress Tony Award for the play ""Children of a Lesser God.""",P-H-Y-L-L-I-S F-R-E-L-I-C-H HERSELF DEAF ACTRESS FAMOUS WHY? WIN T-O-N-Y AWARD FOR PLAY QUOTE “CHILDREN O-F A L-E-S-S-E-R GOD.”,https://www.signingsavvy.com/sentences/amounts/5185
"Robert Davila served as the ninth president of Gallaudet University from 2007 to 2009. Prior to becoming the president of Gallaudet University, he was the first Deaf CEO of the National Technical Institute for the Deaf.",R-O-B-E-R-T D-A-V-I-L-A HE NINTH PRESIDENT GALLAUDET UNIVERSITY YEAR 2007 RANGE 2009 BEFORE THAT HE FIRST DEAF CEO ADMINISTRATOR N-T-I-D.,https://www.signingsavvy.com/sentences/amounts/5186
American Sign Language was recognized as a true language in 1965.,YEAR 1965 ASL RECOGNIZED TRUE LANGUAGE.,https://www.signingsavvy.com/sentences/amounts/5187
I run 25 miles every week.,EVERY WEEK 25 M-I-L-E-S I RUN.,https://www.signingsavvy.com/sentences/amounts/5188
"Instead of prison, my cousin John, must do 300 hours of community service.",INSTEAD PRISON MY COUSIN J-O-H-N MUST 300 HOURS COMMUNITY SERVICE.,https://www.signingsavvy.com/sentences/amounts/5189
Sir John Cornforth was a deaf chemist who won the Nobel Prize in Chemistry in 1975.,S-I-R J-O-H-N C-O-R-N-F-O-R-T-H HIMSELF DEAF CHEMIST YEAR 1975 HE WON N-O-B-E-L P-R-I-Z-E SPECIALIZED CHEMISTRY.,https://www.signingsavvy.com/sentences/amounts/5190
I have 10 different fish in my aquarium.,MY A-Q-U-A-R-I-U-M 10 DIFFERENT DIFFERENT DIFFERENT DIFFERENT FISH I HAVE.,https://www.signingsavvy.com/sentences/amounts/5191
I had a conversation with my neighbor yesterday.,YESTERDAY MY NEIGHBOR TWO-OF-US CONVERSATION.,https://www.signingsavvy.com/sentences/amounts/5192
Do you have a 20 dollar bill?,20 DOLLAR YOU HAVE?,https://www.signingsavvy.com/sentences/amounts/5193
"Morris Broderson is a deaf painter. His artwork has been displayed many places, such as at Gallaudet University, NTID, and the Guggenheim and Whitney Museums.","M-O-R-R-I-S B-R-O-D-E-R-S-O-N HIMSELF DEAF PAINTER. HIS ART DISPLAYED MANY PLACES SAME-AS ONE-OF-FOUR GALLAUDET UNIVERSITY, TWO-OF-FOUR N-T-I-D, THREE-OF-FOUR G-U-G-G-E-N-H-E-I-M FOUR-OF-FOUR W-H-I-T-N-E-Y MUSEUMS.",https://www.signingsavvy.com/sentences/amounts/5194
My friend and I like to swap good books with each other.,GOOD BOOKS MY FRIEND TWO-OF-US LIKE TO SWAP.,https://www.signingsavvy.com/sentences/amounts/5195
Heather Whitestone was the first deaf person to be crowned as Miss America in 1995.,YEAR 1995 H-E-A-T-H-E-R W-H-I-T-E-S-T-O-N-E SHE FIRST DEAF PERSON CROWN M-I-S-S AMERICA.,https://www.signingsavvy.com/sentences/amounts/5196
"Thomas H. Gallaudet was a minister, educator, and co-founded the first school for the deaf called the American School for the Deaf in Hartford, Connecticut. Gallaudet University was named in honor of him in 1894.",T-H-O-M-A-S H. G-A-L-L-A-U-D-E-T HIMSELF MINISTER TEACHER HE CO- FOUNDED FIRST RESIDENTIAL SCHOOL U-S CALLED AMERICAN SCHOOL DEAF A-S-D WHERE? HARTFORD C-O-N-N. YEAR 1894 GALLAUDET COLLEGE NAMED AFTER HIM.,https://www.signingsavvy.com/sentences/amounts/5197
United States of America became independent from Great Britain in 1784 after the ratification of the Treaty of Paris.,YEAR 1784 AMERICA BECAME INDEPENDENT FROM BRITAIN FINISH RATIFICATION T-R-E-A-T-Y O-F P-A-R-I-S.,https://www.signingsavvy.com/sentences/amounts/5198
I play tennis every Friday with 3 women.,EVERY FRIDAY TENNIS I PLAY WITH 3 WOMEN.,https://www.signingsavvy.com/sentences/amounts/5199
My grandparents made a great couple.,MY GRANDPARENTS WONDERFUL TWO-OF-THEM (couple).,https://www.signingsavvy.com/sentences/amounts/5200
I will go to three graduation parties in June.,J-U-N-E THREE GRADUATION PARTIES GO-TO GO-TO GO-TO I WILL.,https://www.signingsavvy.com/sentences/amounts/5201
Independence Day is July 4th.,JULY 4TH INDEPENDENCE DAY.,https://www.signingsavvy.com/sentences/amounts/5202
We remember 9/11 on Patriot Day.,PATRIOT DAY WE DO WHAT? 9/11 REMEMBRANCE.,https://www.signingsavvy.com/sentences/amounts/5203
I have six siblings and I am the oldest.,SIX SIBLINGS I HAVE ME OLDEST.,https://www.signingsavvy.com/sentences/amounts/5204
I will visit my friend for two days.,TWO DAYS MY FRIEND VISIT I WILL.,https://www.signingsavvy.com/sentences/amounts/5205
Leap Year happens every 4 years.,EVERY 4 YEARS L-E-A-P YEAR HAPPEN.,https://www.signingsavvy.com/sentences/amounts/5206
I was a high school cheerleader for 4 years.,4 YEARS HIGH SCHOOL CHEERLEADER I.,https://www.signingsavvy.com/sentences/amounts/5207
I donate blood every three months.,EVERY THREE MONTHS BLOOD I DONATE.,https://www.signingsavvy.com/sentences/amounts/5208
There was a famous protest at Gallaudet University in 1988 called Deaf President Now.,BACK YEAR 1988 GALLAUDET UNIVERSITY HAPPEN WHAT? FAMOUS PROTEST CALLED DEAF PRESIDENT NOW.,https://www.signingsavvy.com/sentences/amounts/5209
"Ashley Fiolek is a Deaf Motocross Racer. She started motorcycling when she was three years old. She won four Woman Motocross Championships in 2008, 2009, 2011, 2012. She is now retired.","A-S-H-L-E-Y F-I-O-L-E-K SHE DEAF M-O-T-O-C-R-O-S-S MOTORCYCLE RACER. SHE OLD THREE STARTED MOTORCYCLING. GROW-UP WON FOUR WOMEN M-O-T-O-C-R-O-S-S CHAMPIONSHIPS ONE-OF-FOUR 2008, TWO-OF-FOUR 2009, THREE-OF-FOUR 2011, FOUR-OF-FOUR 2012. NOW RETIRED.",https://www.signingsavvy.com/sentences/amounts/5210
"Curtis Pride is deaf and was a baseball player. He played for many teams, such as the Detroit Tigers, Atlanta Braves, and New York Yankees. He is currently the coach for the Gallaudet University baseball team.","C-U-R-T-I-S P-R-I-D-E HIMSELF DEAF BASEBALL PLAYER. HE USED-TO PLAY DIFFERENT DIFFERENT DIFFERENT TEAMS ONE-OF-THREE DETROIT T-I-G-E-R-S, TWO-OF-THREE ATLANTA B-R-A-V-E-S, THREE-OF-THREE NEW YORK Y-A-N-K-E-E-S. NOW HE COACH GALLAUDET UNIVERSITY BASEBALL TEAM.",https://www.signingsavvy.com/sentences/amounts/5211
"After retirement in 10 years, I plan to move to Florida.",FUTURE 10 YEARS I RETIRE DO-DO? MOVE F-L-A.,https://www.signingsavvy.com/sentences/amounts/5212
